Created as New Dataset;Sample 057 By Administrator Date donderdag, februari 26 2026,
cm-1,%T,comma
4000,60,95
3999,60,77
3998,60,87
3997,61,0
3996,60,64
3995,60,64
3994,60,81
3993,60,75
3992,60,74
3991,60,56
3990,60,60
3989,60,67
3988,60,47
3987,60,36
3986,60,81
3985,60,74
3984,61,1
3983,60,53
3982,60,73
3981,60,65
3980,60,60
3979,60,58
3978,60,80
3977,60,67
3976,60,53
3975,60,51
3974,60,40
3973,60,96
3972,60,73
3971,60,56
3970,60,54
3969,60,30
3968,60,42
3967,60,77
3966,60,75
3965,60,39
3964,60,64
3963,60,86
3962,60,46
3961,60,48
3960,60,58
3959,60,48
3958,60,48
3957,60,46
3956,60,50
3955,60,73
3954,60,51
3953,60,63
3952,60,69
3951,60,61
3950,60,0
3949,60,28
3948,60,28
3947,60,35
3946,60,12
3945,60,55
3944,60,24
3943,60,23
3942,60,1
3941,60,16
3940,60,52
3939,60,45
3938,60,48
3937,60,29
3936,60,21
3935,60,44
3934,60,30
3933,60,7
3932,59,80
3931,60,4
3930,59,88
3929,60,14
3928,60,25
3927,60,49
3926,60,15
3925,59,98
3924,59,85
3923,60,17
3922,60,28
3921,60,38
3920,60,9
3919,60,8
3918,59,94
3917,60,5
3916,59,66
3915,60,36
3914,60,26
3913,60,20
3912,60,43
3911,60,50
3910,60,56
3909,60,33
3908,60,48
3907,60,26
3906,59,96
3905,59,17
3904,58,93
3903,59,33
3902,59,37
3901,59,66
3900,59,83
3899,59,54
3898,59,63
3897,59,82
3896,60,15
3895,59,94
3894,59,67
3893,59,82
3892,59,27
3891,59,47
3890,59,72
3889,60,11
3888,59,91
3887,59,83
3886,59,61
3885,59,59
3884,59,71
3883,59,48
3882,59,63
3881,59,15
3880,58,48
3879,59,52
3878,60,19
3877,60,29
3876,60,3
3875,59,85
3874,59,27
3873,59,46
3872,59,76
3871,58,82
3870,57,69
3869,58,81
3868,59,63
3867,59,77
3866,59,67
3865,58,97
3864,59,5
3863,59,39
3862,59,8
3861,59,71
3860,59,77
3859,59,98
3858,59,88
3857,59,27
3856,59,35
3855,57,54
3854,58,39
3853,56,79
3852,57,71
3851,58,79
3850,59,16
3849,59,64
3848,59,88
3847,60,6
3846,60,6
3845,59,90
3844,59,15
3843,59,38
3842,59,56
3841,59,38
3840,58,40
3839,57,96
3838,57,91
3837,58,33
3836,59,24
3835,59,37
3834,59,13
3833,59,19
3832,59,43
3831,59,14
3830,59,60
3829,59,86
3828,59,45
3827,59,15
3826,59,47
3825,59,37
3824,59,48
3823,59,44
3822,58,38
3821,58,49
3820,57,87
3819,58,63
3818,59,32
3817,58,86
3816,57,93
3815,58,98
3814,59,67
3813,59,73
3812,59,75
3811,59,75
3810,59,58
3809,59,82
3808,59,26
3807,58,44
3806,58,76
3805,59,48
3804,59,42
3803,58,98
3802,58,18
3801,56,31
3800,58,33
3799,59,1
3798,59,27
3797,59,14
3796,58,98
