Created as New Dataset;Sample 052 By Administrator Date donderdag, februari 26 2026
cm-1;%T
4000,00;99,20
3999,00;99,46
3998,00;99,05
3997,00;98,94
3996,00;99,15
3995,00;99,13
3994,00;99,38
3993,00;99,08
3992,00;99,13
3991,00;99,01
3990,00;99,14
3989,00;98,50
3988,00;98,95
3987,00;99,07
3986,00;99,09
3985,00;99,21
3984,00;99,29
3983,00;98,89
3982,00;99,21
3981,00;98,98
3980,00;98,93
3979,00;98,97
3978,00;99,07
3977,00;99,03
3976,00;99,14
3975,00;98,91
3974,00;98,90
3973,00;99,46
3972,00;99,50
3971,00;99,01
3970,00;99,00
3969,00;98,99
3968,00;98,80
3967,00;99,24
3966,00;99,23
3965,00;98,80
3964,00;99,09
3963,00;99,05
3962,00;98,74
3961,00;99,18
3960,00;99,11
3959,00;98,90
3958,00;98,90
3957,00;99,04
3956,00;99,49
3955,00;99,37
3954,00;98,93
3953,00;98,95
3952,00;99,06
3951,00;99,24
3950,00;99,10
3949,00;99,47
3948,00;99,07
3947,00;98,77
3946,00;98,93
3945,00;99,17
3944,00;98,98
3943,00;98,45
3942,00;98,96
3941,00;99,09
3940,00;98,97
3939,00;99,52
3938,00;99,27
3937,00;99,04
3936,00;98,94
3935,00;98,97
3934,00;99,11
3933,00;99,12
3932,00;99,12
3931,00;99,25
3930,00;98,96
3929,00;99,14
3928,00;99,10
3927,00;99,31
3926,00;99,07
3925,00;99,28
3924,00;99,02
3923,00;99,35
3922,00;98,92
3921,00;99,38
3920,00;99,38
3919,00;98,91
3918,00;99,14
3917,00;99,19
3916,00;99,00
3915,00;99,20
3914,00;99,14
3913,00;98,85
3912,00;98,93
3911,00;99,08
3910,00;99,29
3909,00;98,99
3908,00;99,25
3907,00;99,33
3906,00;98,96
3905,00;98,88
3904,00;99,03
3903,00;99,10
3902,00;98,81
3901,00;98,61
3900,00;98,97
3899,00;99,82
3898,00;99,05
3897,00;98,92
3896,00;99,26
3895,00;99,09
3894,00;98,93
3893,00;99,20
3892,00;98,90
3891,00;98,59
3890,00;99,35
3889,00;99,04
3888,00;99,11
3887,00;99,29
3886,00;98,91
3885,00;99,12
3884,00;98,76
3883,00;98,81
3882,00;98,98
3881,00;98,61
3880,00;98,59
3879,00;99,18
3878,00;99,11
3877,00;99,02
3876,00;98,97
3875,00;99,41
3874,00;98,63
3873,00;98,96
3872,00;99,24
3871,00;99,04
3870,00;98,46
3869,00;99,72
3868,00;98,92
3867,00;99,41
3866,00;99,44
3865,00;98,55
3864,00;99,23
3863,00;98,97
3862,00;98,38
3861,00;99,19
3860,00;99,16
3859,00;99,26
3858,00;99,15
3857,00;98,90
3856,00;99,10
3855,00;98,69
3854,00;98,98
3853,00;98,68
3852,00;98,81
3851,00;98,92
3850,00;99,01
3849,00;98,89
3848,00;98,74
3847,00;99,12
3846,00;99,14
3845,00;99,16
3844,00;99,07
3843,00;99,14
3842,00;99,09
3841,00;98,53
3840,00;99,07
3839,00;98,65
3838,00;99,14
3837,00;98,87
3836,00;99,12
3835,00;99,25
3834,00;98,80
3833,00;98,93
3832,00;99,09
3831,00;99,33
3830,00;99,27
3829,00;99,15
3828,00;98,88
3827,00;99,09
3826,00;98,96
3825,00;98,86
3824,00;98,99
3823,00;99,35
3822,00;98,77
3821,00;99,70
3820,00;98,88
3819,00;98,83
3818,00;99,31
3817,00;99,02
3816,00;98,76
3815,00;98,83
3814,00;98,97
3813,00;99,04
3812,00;99,07
3811,00;99,09
3810,00;98,86
3809,00;98,84
3808,00;98,62
3807,00;98,41
3806,00;99,43
3805,00;98,99
3804,00;98,82
3803,00;99,05
3802,00;99,41
3801,00;97,69
3800,00;99,02
3799,00;99,00
3798,00;98,65
3797,00;99,12
3796,00;99,05
3795,00;99,13
3794,00;99,36
3793,00;99,09
3792,00;99,03
3791,00;98,93
3790,00;99,36
3789,00;99,12
3788,00;98,98
3787,00;98,90
3786,00;99,06
3785,00;98,93
3784,00;99,21
3783,00;98,97
3782,00;99,34
3781,00;98,78
3780,00;98,87
3779,00;98,88
3778,00;99,16
3777,00;98,93
3776,00;99,15
3775,00;98,90
3774,00;99,24
3773,00;99,05
3772,00;99,06
3771,00;99,12
3770,00;99,07
3769,00;99,23
3768,00;98,60
3767,00;98,94
3766,00;99,41
3765,00;99,00
3764,00;98,92
3763,00;99,01
3762,00;99,04
3761,00;99,07
3760,00;99,47
3759,00;99,19
3758,00;98,89
3757,00;98,70
3756,00;99,10
3755,00;99,16
3754,00;99,33
3753,00;98,89
3752,00;97,58
3751,00;98,93
3750,00;98,24
3749,00;97,74
3748,00;98,64
3747,00;98,70
3746,00;98,98
3745,00;99,80
3744,00;97,81
3743,00;98,97
3742,00;98,74
3741,00;99,08
3740,00;99,06
3739,00;99,40
3738,00;98,75
3737,00;98,01
3736,00;98,42
3735,00;98,55
3734,00;98,97
3733,00;99,22
3732,00;98,23
3731,00;98,85
3730,00;98,88
3729,00;98,93
3728,00;99,12
3727,00;98,49
3726,00;98,93
3725,00;99,29
3724,00;98,89
3723,00;99,06
3722,00;99,37
3721,00;98,70
3720,00;99,07
3719,00;99,08
3718,00;98,89
3717,00;99,19
3716,00;99,18
3715,00;99,05
3714,00;98,83
3713,00;98,62
3712,00;97,92
3711,00;98,48
3710,00;98,45
3709,00;98,82
3708,00;99,14
3707,00;98,95
3706,00;99,51
3705,00;99,11
3704,00;99,00
3703,00;98,68
3702,00;99,07
3701,00;98,92
3700,00;98,97
3699,00;98,90
3698,00;98,91
3697,00;99,02
3696,00;99,06
3695,00;98,74
3694,00;99,15
3693,00;98,90
3692,00;98,47
3691,00;99,16
3690,00;99,57
3689,00;98,36
3688,00;97,72
3687,00;98,78
3686,00;99,00
3685,00;98,98
3684,00;98,98
3683,00;99,10
3682,00;98,82
3681,00;98,57
3680,00;98,97
3679,00;99,18
3678,00;98,67
3677,00;98,61
3676,00;99,40
3675,00;98,89
3674,00;98,36
3673,00;98,61
3672,00;98,79
3671,00;99,19
3670,00;99,16
3669,00;98,50
3668,00;98,88
3667,00;98,75
3666,00;98,70
3665,00;98,94
3664,00;98,72
3663,00;99,16
3662,00;98,63
3661,00;98,78
3660,00;98,93
3659,00;99,14
3658,00;98,91
3657,00;98,69
3656,00;99,38
3655,00;98,74
3654,00;98,85
3653,00;99,20
3652,00;99,02
3651,00;99,26
3650,00;98,53
3649,00;98,04
3648,00;99,52
3647,00;98,90
3646,00;99,00
3645,00;98,96
3644,00;98,72
3643,00;98,78
3642,00;98,78
3641,00;98,60
3640,00;98,87
3639,00;98,84
3638,00;98,87
3637,00;98,89
3636,00;99,01
3635,00;99,10
3634,00;99,12
3633,00;98,58
3632,00;98,85
3631,00;98,66
3630,00;98,91
3629,00;99,28
3628,00;98,73
3627,00;98,34
3626,00;98,95
3625,00;99,13
3624,00;99,00
3623,00;99,07
3622,00;98,86
3621,00;98,60
3620,00;98,49
3619,00;98,52
3618,00;98,53
3617,00;98,76
3616,00;98,97
3615,00;98,63
3614,00;98,69
3613,00;98,65
3612,00;98,75
3611,00;98,77
3610,00;98,83
3609,00;98,50
3608,00;98,82
3607,00;99,48
3606,00;98,81
3605,00;98,84
3604,00;98,69
3603,00;98,96
3602,00;98,71
3601,00;98,80
3600,00;98,52
3599,00;98,49
3598,00;98,86
3597,00;98,86
3596,00;98,52
3595,00;99,33
3594,00;98,81
3593,00;98,93
3592,00;98,86
3591,00;98,83
3590,00;98,76
3589,00;98,98
3588,00;98,94
3587,00;98,69
3586,00;99,13
3585,00;98,64
3584,00;98,82
3583,00;98,83
3582,00;99,00
3581,00;99,13
3580,00;98,61
3579,00;98,84
3578,00;98,70
3577,00;98,87
3576,00;98,80
3575,00;99,07
3574,00;98,63
3573,00;98,89
3572,00;98,65
3571,00;99,09
3570,00;98,66
3569,00;98,60
3568,00;97,78
3567,00;98,80
3566,00;99,70
3565,00;98,95
3564,00;98,99
3563,00;98,83
3562,00;98,63
3561,00;98,67
3560,00;98,87
3559,00;98,97
3558,00;98,85
3557,00;99,12
3556,00;99,40
3555,00;98,63
3554,00;98,84
3553,00;98,74
3552,00;98,96
3551,00;98,58
3550,00;98,84
3549,00;98,42
3548,00;98,79
3547,00;98,97
3546,00;98,37
3545,00;98,54
3544,00;98,57
3543,00;98,71
3542,00;98,55
3541,00;98,62
3540,00;98,79
3539,00;98,89
3538,00;98,72
3537,00;98,47
3536,00;99,34
3535,00;98,82
3534,00;98,64
3533,00;98,76
3532,00;98,95
3531,00;98,69
3530,00;98,72
3529,00;98,72
3528,00;98,53
3527,00;98,98
3526,00;98,71
3525,00;98,83
3524,00;98,56
3523,00;98,62
3522,00;98,82
3521,00;98,86
3520,00;98,85
3519,00;98,79
3518,00;98,83
3517,00;98,70
3516,00;98,81
3515,00;98,81
3514,00;98,90
3513,00;98,92
3512,00;98,75
3511,00;98,55
3510,00;98,54
3509,00;98,55
3508,00;98,85
3507,00;98,69
3506,00;98,63
3505,00;98,99
3504,00;99,04
3503,00;98,63
3502,00;98,91
3501,00;98,85
3500,00;98,74
3499,00;99,06
3498,00;98,74
3497,00;98,89
3496,00;98,91
3495,00;98,86
3494,00;98,76
3493,00;98,81
3492,00;98,95
3491,00;98,70
3490,00;98,60
3489,00;98,68
3488,00;99,17
3487,00;98,82
3486,00;98,63
3485,00;98,57
3484,00;98,71
3483,00;98,80
3482,00;98,91
3481,00;98,46
3480,00;98,83
3479,00;98,58
3478,00;98,67
3477,00;98,77
3476,00;98,66
3475,00;98,71
3474,00;98,73
3473,00;99,13
3472,00;98,72
3471,00;98,73
3470,00;99,03
3469,00;98,77
3468,00;98,94
3467,00;98,87
3466,00;98,63
3465,00;98,88
3464,00;98,88
3463,00;98,77
3462,00;98,58
3461,00;98,80
3460,00;98,84
3459,00;99,00
3458,00;98,50
3457,00;98,82
3456,00;98,80
3455,00;98,85
3454,00;99,14
3453,00;98,62
3452,00;98,75
3451,00;98,65
3450,00;98,68
3449,00;98,53
3448,00;98,93
3447,00;98,93
3446,00;98,82
3445,00;98,80
3444,00;98,91
3443,00;98,64
3442,00;98,82
3441,00;98,83
3440,00;98,81
3439,00;98,91
3438,00;98,81
3437,00;98,63
3436,00;98,75
3435,00;99,00
3434,00;98,94
3433,00;99,03
3432,00;98,98
3431,00;98,70
3430,00;98,59
3429,00;98,75
3428,00;98,72
3427,00;99,01
3426,00;98,77
3425,00;98,60
3424,00;98,33
3423,00;98,54
3422,00;99,22
3421,00;98,97
3420,00;98,57
3419,00;98,95
3418,00;98,75
3417,00;98,77
3416,00;98,82
3415,00;98,84
3414,00;98,26
3413,00;98,77
3412,00;98,74
3411,00;98,78
3410,00;98,71
3409,00;98,90
3408,00;98,83
3407,00;98,63
3406,00;99,01
3405,00;98,66
3404,00;98,88
3403,00;98,82
3402,00;98,60
3401,00;98,50
3400,00;98,93
3399,00;98,85
3398,00;98,85
3397,00;98,92
3396,00;99,05
3395,00;99,02
3394,00;99,03
3393,00;98,72
3392,00;98,93
3391,00;98,59
3390,00;98,79
3389,00;98,64
3388,00;98,75
3387,00;98,84
3386,00;98,50
3385,00;98,83
3384,00;98,93
3383,00;98,76
3382,00;98,85
3381,00;98,87
3380,00;98,57
3379,00;98,42
3378,00;98,69
3377,00;98,58
3376,00;98,70
3375,00;98,84
3374,00;98,79
3373,00;99,04
3372,00;98,89
3371,00;98,90
3370,00;98,66
3369,00;98,61
3368,00;98,91
3367,00;98,75
3366,00;98,96
3365,00;98,96
3364,00;98,83
3363,00;98,67
3362,00;98,68
3361,00;98,75
3360,00;98,86
3359,00;98,74
3358,00;98,96
3357,00;98,49
3356,00;98,70
3355,00;99,00
3354,00;99,37
3353,00;98,64
3352,00;98,90
3351,00;98,39
3350,00;98,79
3349,00;98,66
3348,00;98,72
3347,00;98,81
3346,00;98,73
3345,00;98,87
3344,00;98,50
3343,00;98,66
