Created as New Dataset;Sample 061 By Administrator Date donderdag, februari 26 2026,
cm-1,%T,comma
4000,92,57
3999,93,9
3998,92,79
3997,92,90
3996,92,83
3995,92,90
3994,93,11
3993,92,99
3992,92,70
3991,92,76
3990,92,72
3989,92,52
3988,92,83
3987,92,88
3986,92,92
3985,92,93
3984,92,94
3983,92,87
3982,93,7
3981,92,83
3980,92,47
3979,92,68
3978,92,63
3977,92,91
3976,93,7
3975,92,94
3974,93,4
3973,93,18
3972,93,20
3971,92,71
3970,92,90
3969,92,94
3968,92,56
3967,93,2
3966,92,99
3965,92,79
3964,93,12
3963,93,5
3962,92,64
3961,93,9
3960,92,95
3959,92,82
3958,93,9
3957,92,98
3956,93,17
3955,93,15
3954,93,0
3953,93,1
3952,92,96
3951,93,56
3950,93,55
3949,93,47
3948,93,39
3947,93,5
3946,93,12
3945,93,22
3944,93,33
3943,93,17
3942,93,67
3941,93,9
3940,92,97
3939,93,28
3938,93,6
3937,92,86
3936,92,99
3935,92,73
3934,93,25
3933,93,61
3932,93,30
3931,93,65
3930,93,66
3929,93,44
3928,93,27
3927,93,21
3926,93,50
3925,94,55
3924,93,63
3923,93,66
3922,93,27
3921,93,32
3920,93,64
3919,93,41
3918,93,21
3917,93,49
3916,93,65
3915,93,39
3914,93,20
3913,93,1
3912,93,1
3911,92,98
3910,92,96
3909,92,86
3908,93,29
3907,93,80
3906,94,14
3905,94,88
3904,94,9
3903,94,74
3902,94,27
3901,93,84
3900,94,23
3899,95,40
3898,94,10
3897,93,31
3896,93,38
3895,93,50
3894,93,52
3893,94,10
3892,94,49
3891,94,67
3890,93,97
3889,93,30
3888,93,20
3887,94,0
3886,93,48
3885,94,33
3884,94,21
3883,93,92
3882,94,19
3881,94,72
3880,94,27
3879,93,98
3878,93,27
3877,93,41
3876,93,63
3875,94,29
3874,94,44
3873,94,35
3872,94,30
3871,95,32
3870,96,1
3869,95,66
3868,94,10
3867,94,3
3866,94,47
3865,94,67
3864,94,70
3863,94,52
3862,94,16
3861,94,1
3860,93,21
3859,93,55
3858,94,15
