Created as New Dataset;Sample 055 By Administrator Date donderdag, februari 26 2026,
cm-1,%T,comma
4000,96,45
3999,96,42
3998,96,28
3997,96,29
3996,96,24
3995,96,19
3994,96,64
3993,96,32
3992,96,44
3991,96,24
3990,96,27
3989,96,19
3988,96,46
3987,96,39
3986,96,26
3985,96,59
3984,96,88
3983,96,45
3982,96,36
3981,96,23
3980,96,19
3979,96,17
3978,96,53
3977,96,68
3976,96,50
3975,96,37
3974,96,19
3973,96,58
3972,96,53
3971,96,46
3970,96,36
3969,96,25
3968,96,6
3967,96,61
3966,96,44
3965,96,33
3964,96,47
3963,96,43
3962,96,2
3961,96,45
3960,96,48
3959,96,27
3958,96,30
3957,96,29
3956,96,62
3955,96,71
3954,96,43
3953,96,44
3952,96,44
3951,96,43
3950,96,34
3949,96,23
3948,95,84
3947,96,1
3946,96,10
3945,96,49
3944,96,52
3943,95,97
3942,96,19
3941,96,23
3940,96,45
3939,96,51
3938,96,43
3937,96,57
3936,96,50
3935,96,40
3934,96,12
3933,95,93
3932,96,45
3931,96,11
3930,96,24
3929,96,32
3928,96,24
3927,96,49
3926,96,30
3925,96,33
3924,96,30
3923,96,68
3922,96,48
3921,96,4
3920,96,49
3919,96,43
3918,96,1
3917,95,75
3916,96,30
3915,96,59
3914,96,55
3913,96,15
3912,96,63
3911,96,55
3910,96,61
3909,96,41
3908,96,76
3907,96,56
3906,95,93
3905,95,73
3904,94,63
3903,96,17
3902,95,44
3901,95,62
3900,95,85
3899,96,10
3898,96,9
3897,96,13
3896,96,72
3895,96,26
3894,96,23
3893,96,34
3892,95,56
3891,96,1
3890,96,51
3889,96,45
3888,96,20
3887,96,46
3886,96,27
3885,95,88
3884,96,27
3883,96,31
3882,96,16
3881,95,93
3880,95,15
3879,96,30
3878,96,57
3877,96,27
3876,96,47
3875,96,10
3874,95,93
3873,96,40
3872,96,17
3871,95,88
3870,94,93
3869,95,94
3868,96,33
3867,96,46
3866,96,33
3865,95,38
3864,96,20
3863,96,27
3862,95,90
3861,96,37
3860,96,25
3859,96,44
3858,96,31
3857,96,22
3856,96,32
3855,95,60
3854,96,88
3853,94,40
3852,95,9
3851,96,9
3850,96,4
3849,96,50
3848,96,56
3847,96,52
3846,96,45
3845,96,50
3844,95,85
3843,96,41
3842,96,39
3841,96,8
3840,96,22
3839,95,66
3838,95,70
3837,96,33
3836,96,3
3835,96,40
3834,96,26
3833,95,99
3832,96,45
3831,96,61
3830,96,47
3829,96,47
3828,96,45
3827,96,29
3826,96,21
3825,96,19
3824,96,44
3823,96,49
3822,95,57
3821,96,67
3820,95,41
3819,96,12
3818,96,58
3817,96,13
3816,95,93
3815,96,47
3814,96,37
3813,96,38
3812,96,65
3811,96,76
3810,96,44
3809,96,25
3808,95,97
3807,95,71
3806,96,68
3805,96,53
3804,96,19
3803,96,19
3802,95,67
3801,94,58
3800,96,18
3799,96,38
3798,96,32
3797,96,26
3796,96,24
3795,96,54
3794,96,93
3793,96,59
3792,96,53
3791,96,59
3790,96,61
3789,96,63
3788,96,51
3787,96,50
3786,96,30
3785,96,44
3784,96,43
3783,96,55
3782,96,73
3781,96,34
3780,96,7
3779,96,27
3778,96,53
3777,96,36
3776,96,58
3775,96,40
3774,96,72
3773,96,56
3772,96,58
3771,96,27
3770,96,39
3769,96,9
3768,96,24
3767,96,58
3766,96,57
3765,96,23
3764,96,42
3763,96,69
3762,96,66
3761,96,34
3760,96,50
3759,96,30
3758,96,16
3757,96,30
3756,96,34
3755,96,79
3754,96,47
3753,95,73
3752,95,4
3751,96,14
3750,95,11
3749,95,11
3748,95,97
3747,95,96
3746,96,26
3745,97,9
3744,92,83
3743,95,98
3742,95,99
3741,96,33
3740,96,35
3739,96,43
3738,96,12
3737,94,83
3736,94,51
3735,94,66
3734,95,76
3733,96,25
3732,95,45
3731,96,24
3730,96,36
3729,96,32
3728,96,47
3727,96,2
3726,95,58
3725,96,38
3724,96,3
3723,96,58
3722,96,64
3721,96,48
3720,96,37
3719,96,38
3718,96,21
3717,96,65
3716,96,68
3715,96,34
3714,96,15
3713,95,88
3712,96,15
3711,95,68
3710,95,49
3709,96,26
3708,96,51
3707,96,42
3706,96,72
3705,96,43
3704,96,29
3703,96,15
3702,96,46
3701,96,19
3700,96,22
3699,96,58
3698,96,27
3697,96,67
3696,96,30
