Created as New Dataset;Sample 058 By Administrator Date donderdag, februari 26 2026
cm-1;%T
4000,00;-87,06
3999,00;-103,15
3998,00;-115,44
3997,00;-123,25
3996,00;-125,44
3995,00;-123,79
3994,00;-115,92
3993,00;-102,66
3992,00;-85,17
3991,00;-63,81
3990,00;-45,00
3989,00;-19,82
3988,00;6,91
3987,00;32,82
3986,00;56,71
3985,00;78,17
3984,00;96,54
3983,00;111,51
3982,00;120,48
3981,00;124,68
3980,00;124,53
3979,00;118,86
3978,00;107,95
3977,00;91,40
3976,00;74,78
3975,00;53,34
3974,00;28,84
3973,00;2,20
3972,00;-19,82
3971,00;-44,95
3970,00;-71,24
3969,00;-88,84
3968,00;-103,08
3967,00;-116,46
3966,00;-123,81
3965,00;-125,14
3964,00;-121,79
3963,00;-110,80
3962,00;-101,14
3961,00;-87,52
3960,00;-62,26
3959,00;-38,89
3958,00;-13,41
3957,00;11,19
3956,00;34,12
3955,00;59,49
3954,00;82,64
3953,00;99,60
3952,00;110,88
3951,00;122,83
3950,00;129,83
3949,00;122,26
3948,00;117,99
3947,00;113,84
3946,00;91,83
3945,00;66,79
3944,00;40,74
3943,00;12,00
3942,00;21,15
3941,00;-19,87
3940,00;-49,16
3939,00;-73,56
3938,00;-89,70
3937,00;-105,79
3936,00;-117,87
3935,00;-123,98
3934,00;-124,60
3933,00;-116,57
3932,00;-123,24
3931,00;-98,68
3930,00;-80,66
3929,00;-67,79
3928,00;-40,25
3927,00;-8,51
3926,00;32,26
3925,00;47,25
3924,00;54,77
3923,00;73,82
3922,00;98,62
3921,00;118,28
3920,00;128,95
3919,00;121,24
3918,00;118,04
3917,00;125,50
3916,00;116,43
3915,00;92,23
3914,00;69,62
3913,00;46,88
3912,00;22,30
3911,00;-4,01
3910,00;-29,31
3909,00;-53,94
3908,00;-77,48
3907,00;-104,13
3906,00;-122,11
3905,00;-126,53
3904,00;-134,15
3903,00;-117,52
3902,00;-133,33
3901,00;-116,29
3900,00;-75,03
3899,00;-109,72
3898,00;-77,34
3897,00;-41,63
3896,00;-7,70
3895,00;24,54
3894,00;46,93
3893,00;75,26
3892,00;119,79
3891,00;90,22
3890,00;103,24
3889,00;119,44
3888,00;121,81
3887,00;112,20
3886,00;124,23
3885,00;128,09
3884,00;84,62
3883,00;71,41
3882,00;28,33
3881,00;-27,04
3880,00;42,95
3879,00;-7,07
3878,00;-51,37
3877,00;-77,22
3876,00;-98,94
3875,00;-132,69
3874,00;-135,84
3873,00;-117,92
3872,00;-117,45
3871,00;-103,89
3870,00;-122,39
3869,00;-143,38
3868,00;-87,93
3867,00;-44,87
3866,00;7,58
3865,00;4,29
3864,00;-8,90
3863,00;46,18
3862,00;81,62
3861,00;67,21
3860,00;98,90
3859,00;116,16
3858,00;126,45
3857,00;131,36
3856,00;112,31
3855,00;76,88
3854,00;183,20
3853,00;95,29
3852,00;134,70
3851,00;74,59
3850,00;19,34
3849,00;4,49
3848,00;-29,20
3847,00;-60,19
3846,00;-83,35
3845,00;-108,43
3844,00;-135,13
3843,00;-113,85
3842,00;-120,31
3841,00;-127,90
3840,00;-122,59
3839,00;-90,72
3838,00;-100,69
3837,00;-110,70
3836,00;-38,48
3835,00;-31,95
3834,00;-26,96
3833,00;33,30
3832,00;83,76
3831,00;42,70
3830,00;82,30
3829,00;107,47
3828,00;120,80
3827,00;133,87
3826,00;127,22
3825,00;119,06
3824,00;106,22
3823,00;79,46
3822,00;28,23
3821,00;92,09
3820,00;90,16
3819,00;25,21
3818,00;-17,89
3817,00;-84,24
3816,00;-65,50
3815,00;-48,48
3814,00;-90,31
3813,00;-110,68
3812,00;-120,04
3811,00;-125,18
3810,00;-121,96
3809,00;-109,46
3808,00;-79,92
3807,00;-110,83
3806,00;-101,88
3805,00;-50,76
3804,00;-3,59
3803,00;39,71
3802,00;87,32
3801,00;-4,30
3800,00;42,91
3799,00;86,09
3798,00;112,76
3797,00;129,14
3796,00;127,98
3795,00;123,26
3794,00;119,55
3793,00;110,20
3792,00;96,35
3791,00;77,12
3790,00;55,00
3789,00;32,93
3788,00;5,40
3787,00;-23,13
3786,00;-52,40
3785,00;-77,16
3784,00;-74,30
3783,00;-99,24
3782,00;-115,02
3781,00;-121,25
3780,00;-133,20
3779,00;-135,66
3778,00;-118,81
3777,00;-104,48
3776,00;-86,33
3775,00;-65,41
3774,00;-42,23
3773,00;-14,94
3772,00;17,84
3771,00;59,17
3770,00;81,84
3769,00;51,63
3768,00;88,54
3767,00;114,20
3766,00;136,00
3765,00;123,09
3764,00;123,28
3763,00;117,42
3762,00;105,36
3761,00;76,08
3760,00;51,87
3759,00;84,64
3758,00;32,08
3757,00;-16,76
3756,00;0,35
3755,00;-45,51
3754,00;-89,04
3753,00;-139,82
3752,00;-126,64
3751,00;-103,94
3750,00;-137,15
3749,00;-146,73
3748,00;-119,10
3747,00;-109,20
3746,00;-71,11
3745,00;-2,15
3744,00;-235,62
3743,00;-73,14
3742,00;-3,42
3741,00;1,06
3740,00;26,27
3739,00;80,80
3738,00;87,08
3737,00;128,32
3736,00;122,61
3735,00;148,30
3734,00;116,60
3733,00;114,28
3732,00;152,01
3731,00;120,20
3730,00;96,35
3729,00;68,46
3728,00;35,13
3727,00;1,61
3726,00;11,27
3725,00;-19,16
3724,00;-43,95
3723,00;-97,21
3722,00;-79,52
3721,00;-92,87
3720,00;-118,83
3719,00;-130,97
3718,00;-123,34
3717,00;-119,86
3716,00;-108,21
3715,00;-92,86
3714,00;-69,93
3713,00;-4,62
3712,00;-59,20
3711,00;-36,67
3710,00;33,66
3709,00;0,89
3708,00;42,86
3707,00;81,22
3706,00;100,27
3705,00;111,74
3704,00;120,76
3703,00;123,53
3702,00;135,58
3701,00;128,93
3700,00;106,04
3699,00;89,89
3698,00;67,54
3697,00;40,74
3696,00;26,31
3695,00;-6,31
3694,00;-32,08
3693,00;-61,70
3692,00;-108,98
3691,00;-109,17
3690,00;-99,21
3689,00;-145,44
3688,00;-135,10
3687,00;-122,58
3686,00;-119,15
3685,00;-108,76
3684,00;-100,50
3683,00;-78,25
3682,00;-53,33
3681,00;-20,17
3680,00;17,83
3679,00;3,89
3678,00;54,27
3677,00;105,38
3676,00;189,60
3675,00;87,08
3674,00;87,66
3673,00;113,04
3672,00;118,48
3671,00;131,58
3670,00;128,92
3669,00;116,13
3668,00;114,57
3667,00;73,08
3666,00;45,41
3665,00;20,26
3664,00;-7,15
3663,00;-33,01
3662,00;-57,45
3661,00;-80,39
3660,00;-98,27
3659,00;-109,34
3658,00;-120,51
3657,00;-132,55
3656,00;-147,97
3655,00;-122,07
3654,00;-106,19
3653,00;-82,63
3652,00;-34,45
3651,00;-13,58
3650,00;-15,46
3649,00;-42,52
3648,00;36,37
3647,00;2,00
3646,00;33,99
3645,00;75,40
3644,00;102,31
3643,00;118,89
3642,00;124,82
3641,00;123,92
3640,00;121,09
3639,00;109,80
3638,00;103,68
3637,00;85,97
3636,00;59,00
3635,00;24,36
3634,00;2,44
3633,00;5,69
3632,00;-39,55
3631,00;-85,25
3630,00;-144,79
3629,00;-125,35
3628,00;-84,45
3627,00;-111,04
3626,00;-124,04
3625,00;-122,79
3624,00;-116,26
3623,00;-104,97
3622,00;-79,49
3621,00;-56,84
3620,00;-18,41
3619,00;-44,07
3618,00;3,23
3617,00;-4,03
3616,00;54,09
3615,00;90,26
3614,00;83,70
3613,00;126,84
3612,00;107,12
3611,00;116,55
3610,00;122,12
3609,00;136,10
3608,00;106,14
3607,00;116,66
3606,00;93,89
3605,00;61,58
3604,00;31,89
3603,00;6,31
3602,00;-23,57
3601,00;-46,47
3600,00;-58,55
3599,00;-84,17
3598,00;-97,52
3597,00;-111,47
3596,00;-128,72
3595,00;-128,20
3594,00;-119,77
3593,00;-125,54
3592,00;-108,08
3591,00;-84,63
3590,00;-54,48
3589,00;-9,49
3588,00;-26,00
3587,00;16,78
3586,00;-9,34
3585,00;40,03
3584,00;75,93
3583,00;89,42
3582,00;106,86
3581,00;119,90
3580,00;126,99
3579,00;124,81
3578,00;117,49
3577,00;112,32
3576,00;95,89
3575,00;75,22
3574,00;59,39
3573,00;34,78
3572,00;5,59
3571,00;-25,94
3570,00;-46,31
3569,00;-95,94
3568,00;-100,99
3567,00;-111,32
3566,00;-112,21
3565,00;-113,44
3564,00;-123,79
3563,00;-123,36
3562,00;-115,33
3561,00;-98,77
3560,00;-91,87
3559,00;-70,08
3558,00;-41,18
3557,00;-19,11
3556,00;6,27
3555,00;36,46
3554,00;63,85
3553,00;84,69
3552,00;95,33
3551,00;104,56
3550,00;117,99
3549,00;124,02
3548,00;121,99
3547,00;122,59
3546,00;103,81
3545,00;101,15
3544,00;79,65
3543,00;58,89
3542,00;32,94
3541,00;4,12
3540,00;-21,99
3539,00;-46,93
3538,00;-71,02
3537,00;-96,88
3536,00;-102,80
3535,00;-113,35
3534,00;-122,81
3533,00;-124,42
3532,00;-120,35
3531,00;-113,04
3530,00;-95,78
3529,00;-81,53
3528,00;-59,59
3527,00;-44,40
3526,00;-15,27
3525,00;12,42
3524,00;41,96
3523,00;58,75
3522,00;71,85
3521,00;95,79
3520,00;112,06
3519,00;121,72
3518,00;125,17
3517,00;123,83
3516,00;117,48
3515,00;105,98
3514,00;90,06
3513,00;70,71
3512,00;46,96
3511,00;22,38
3510,00;-10,65
3509,00;-16,30
3508,00;-44,05
3507,00;-71,69
3506,00;-91,99
3505,00;-110,34
3504,00;-121,24
3503,00;-126,57
3502,00;-125,32
3501,00;-121,31
3500,00;-111,83
3499,00;-98,18
3498,00;-78,19
3497,00;-55,55
3496,00;-37,41
3495,00;-12,61
3494,00;13,74
3493,00;39,36
3492,00;63,43
3491,00;83,53
3490,00;100,53
3489,00;115,37
3488,00;123,89
3487,00;124,77
3486,00;123,06
3485,00;115,93
3484,00;103,22
3483,00;82,30
3482,00;72,04
3481,00;46,50
3480,00;25,94
3479,00;-1,88
3478,00;-28,63
3477,00;-53,27
3476,00;-76,99
3475,00;-94,68
3474,00;-107,38
3473,00;-119,12
3472,00;-124,23
3471,00;-124,46
3470,00;-119,97
3469,00;-109,70
3468,00;-94,03
3467,00;-77,43
3466,00;-57,87
3465,00;-32,09
3464,00;-5,49
3463,00;21,58
3462,00;41,67
3461,00;64,92
3460,00;85,20
3459,00;102,87
3458,00;114,71
3457,00;122,51
3456,00;125,61
3455,00;122,80
3454,00;114,85
3453,00;102,37
3452,00;85,62
3451,00;65,44
3450,00;41,93
3449,00;14,24
3448,00;-17,54
3447,00;-30,25
3446,00;-50,01
3445,00;-76,27
3444,00;-95,76
3443,00;-112,70
3442,00;-119,59
3441,00;-124,44
3440,00;-124,23
3439,00;-118,65
3438,00;-108,37
3437,00;-93,20
3436,00;-74,97
3435,00;-52,95
3434,00;-28,35
3433,00;-2,78
3432,00;22,46
3431,00;46,25
3430,00;68,15
3429,00;89,08
3428,00;104,92
3427,00;116,37
3426,00;123,14
3425,00;124,83
3424,00;121,05
3423,00;112,52
3422,00;99,62
3421,00;80,67
3420,00;66,60
3419,00;41,73
3418,00;15,50
3417,00;-10,48
3416,00;-35,96
3415,00;-59,62
3414,00;-80,97
3413,00;-98,45
3412,00;-111,95
3411,00;-121,11
3410,00;-124,79
3409,00;-124,12
3408,00;-117,78
3407,00;-106,39
3406,00;-90,86
3405,00;-71,34
3404,00;-48,63
3403,00;-25,70
3402,00;0,54
3401,00;25,63
3400,00;49,86
3399,00;72,50
3398,00;93,39
3397,00;106,73
3396,00;116,83
3395,00;123,40
3394,00;124,44
3393,00;121,43
3392,00;113,47
3391,00;98,54
3390,00;80,21
3389,00;59,24
3388,00;35,60
3387,00;10,08
3386,00;-15,86
3385,00;-40,12
3384,00;-61,72
3383,00;-82,64
3382,00;-100,31
3381,00;-113,75
3380,00;-121,83
3379,00;-124,66
3378,00;-123,26
3377,00;-116,11
3376,00;-104,30
3375,00;-88,46
3374,00;-68,97
3373,00;-45,92
3372,00;-21,37
3371,00;4,08
3370,00;29,84
3369,00;53,88
3368,00;75,90
3367,00;93,30
3366,00;109,37
3365,00;118,69
3364,00;124,51
3363,00;124,49
3362,00;120,08
3361,00;110,73
3360,00;95,92
3359,00;77,66
3358,00;55,39
3357,00;31,68
3356,00;6,63
3355,00;-17,30
3354,00;-42,77
3353,00;-65,91
3352,00;-86,14
3351,00;-102,71
3350,00;-115,08
3349,00;-122,42
3348,00;-125,02
3347,00;-122,37
3346,00;-114,99
3345,00;-102,29
3344,00;-85,49
3343,00;-65,14
3342,00;-42,52
3341,00;-17,80
3340,00;7,60
3339,00;33,15
3338,00;57,44
3337,00;79,30
3336,00;95,07
3335,00;110,33
3334,00;119,69
3333,00;124,38
3332,00;124,22
3331,00;118,74
3330,00;108,11
3329,00;93,19
3328,00;73,99
3327,00;52,40
3326,00;29,10
3325,00;3,17
3324,00;-21,88
3323,00;-46,40
3322,00;-68,89
3321,00;-88,29
3320,00;-104,51
3319,00;-116,35
3318,00;-123,34
3317,00;-125,38
3316,00;-121,97
3315,00;-112,99
3314,00;-99,10
3313,00;-83,60
3312,00;-62,45
3311,00;-38,47
3310,00;-13,73
