Created as New Dataset;Sample 059 By Administrator Date donderdag, februari 26 2026,
cm-1,%T,comma
4000,91,93
3999,92,1
3998,91,79
3997,91,82
3996,92,0
3995,91,54
3994,92,17
3993,92,4
3992,91,79
3991,91,90
3990,92,7
3989,91,48
3988,91,93
3987,92,1
3986,91,91
3985,91,97
3984,92,4
3983,91,58
3982,92,16
3981,92,4
3980,91,75
3979,91,73
3978,91,83
3977,92,24
3976,92,19
3975,92,17
3974,91,78
3973,92,21
3972,92,29
3971,92,14
3970,91,94
3969,91,72
3968,91,68
3967,92,9
3966,92,6
3965,91,65
3964,91,83
3963,91,98
3962,91,82
3961,92,44
3960,92,3
3959,91,96
3958,91,99
3957,91,96
3956,92,37
3955,92,34
3954,92,11
3953,92,7
3952,92,12
3951,92,37
3950,92,80
3949,92,76
3948,92,48
3947,92,24
3946,92,28
3945,92,45
3944,92,38
3943,92,25
3942,92,48
3941,92,25
3940,92,2
3939,92,10
3938,92,13
3937,92,7
3936,91,87
3935,91,80
3934,92,45
3933,93,36
3932,92,84
3931,92,77
3930,92,68
3929,92,85
3928,92,42
3927,92,41
3926,92,47
3925,93,88
3924,93,34
3923,92,94
3922,92,37
3921,92,50
3920,93,0
3919,92,56
3918,92,67
3917,93,5
3916,92,90
3915,92,55
3914,92,22
3913,92,28
3912,92,23
3911,92,23
3910,92,29
3909,92,8
3908,92,38
3907,92,91
3906,93,97
3905,94,50
3904,94,63
3903,94,25
3902,93,39
3901,93,66
3900,94,38
3899,94,65
3898,93,62
3897,92,75
3896,92,42
3895,92,47
3894,92,63
3893,93,44
3892,93,64
3891,94,26
3890,93,31
3889,92,45
3888,92,48
3887,93,50
3886,92,66
3885,93,96
3884,93,91
3883,93,61
3882,93,60
3881,94,7
3880,94,23
3879,93,30
3878,92,40
3877,92,56
3876,92,78
3875,93,55
3874,93,72
3873,93,88
3872,93,63
3871,94,81
3870,96,34
3869,95,10
3868,93,55
3867,93,37
3866,94,34
3865,94,23
3864,94,59
3863,93,98
3862,93,54
3861,93,55
3860,93,8
3859,92,73
3858,93,28
3857,94,19
3856,94,96
3855,96,59
3854,85,54
3853,97,16
3852,97,96
3851,94,38
3850,93,63
3849,93,36
3848,92,45
3847,92,57
3846,92,78
3845,93,33
3844,93,92
3843,93,92
3842,94,9
3841,95,9
3840,96,14
3839,95,26
3838,96,95
3837,95,9
3836,95,7
3835,95,68
3834,93,64
3833,93,68
3832,94,4
3831,93,72
3830,93,32
3829,92,87
3828,93,91
3827,94,45
3826,93,79
3825,93,26
3824,93,66
3823,94,56
3822,95,78
3821,96,63
3820,95,69
3819,94,30
3818,94,33
3817,94,54
3816,95,93
3815,94,25
3814,93,36
3813,92,80
3812,93,15
3811,92,64
3810,92,51
3809,93,0
3808,93,75
3807,93,94
3806,94,0
3805,93,62
3804,93,70
3803,95,23
3802,96,26
3801,96,68
3800,94,92
3799,93,93
3798,93,91
3797,94,65
3796,94,28
3795,93,31
3794,92,97
3793,92,72
3792,92,66
3791,92,26
3790,92,64
3789,92,57
3788,92,62
3787,92,96
3786,93,20
3785,93,85
3784,93,49
3783,93,6
3782,93,13
3781,92,98
3780,93,83
3779,94,26
3778,93,83
3777,92,71
3776,92,63
3775,92,35
3774,92,78
3773,92,89
3772,93,6
3771,94,1
3770,94,27
3769,93,99
3768,93,11
3767,93,71
3766,94,10
3765,93,70
3764,93,28
3763,93,18
3762,93,28
3761,93,49
3760,94,59
3759,94,97
3758,94,23
3757,94,42
3756,94,16
3755,93,99
3754,94,50
3753,96,43
3752,99,4
3751,97,0
3750,96,43
3749,96,1
3748,95,25
3747,94,89
3746,95,79
3745,96,89
3744,94,86
3743,94,75
3742,94,36
3741,94,97
3740,94,49
3739,94,38
3738,94,77
3737,95,50
3736,96,15
3735,95,41
3734,96,83
3733,95,66
3732,96,32
3731,94,50
3730,93,73
3729,93,22
3728,93,27
3727,93,71
3726,94,94
3725,94,75
3724,93,87
3723,94,61
3722,95,65
3721,93,66
3720,93,70
3719,93,90
3718,93,61
3717,93,22
3716,93,34
3715,93,63
3714,93,88
3713,94,13
3712,95,57
3711,95,91
3710,94,86
3709,95,21
3708,94,2
3707,93,39
3706,93,49
3705,93,7
3704,93,16
3703,93,50
3702,94,75
3701,94,13
3700,93,37
3699,93,41
3698,92,98
3697,93,31
3696,93,19
3695,93,5
3694,93,31
3693,93,63
3692,94,33
3691,95,38
3690,96,66
3689,97,64
3688,96,50
3687,94,49
3686,93,61
3685,93,46
3684,93,51
3683,92,90
3682,92,85
3681,93,8
3680,94,34
3679,95,12
3678,94,74
3677,95,92
3676,99,41
3675,95,85
3674,95,92
3673,94,30
3672,94,73
3671,96,49
3670,96,86
3669,95,48
3668,94,20
3667,93,28
3666,92,81
3665,93,14
3664,93,16
3663,93,1
3662,92,87
3661,93,24
3660,93,35
3659,93,64
3658,93,63
3657,93,98
3656,94,93
3655,93,77
3654,93,47
3653,93,88
3652,94,76
3651,96,10
3650,97,95
3649,98,24
3648,97,72
3647,96,70
3646,95,25
3645,93,96
3644,93,10
3643,93,49
3642,93,73
3641,93,26
3640,93,41
3639,93,58
3638,93,69
3637,93,48
3636,93,51
3635,93,75
3634,94,33
3633,93,93
3632,93,77
3631,94,71
3630,96,19
3629,96,67
3628,96,37
3627,94,28
3626,94,31
3625,93,49
3624,93,52
3623,93,65
3622,93,58
3621,95,1
3620,95,32
3619,95,44
3618,95,2
3617,94,73
3616,94,53
3615,95,14
3614,95,19
3613,95,2
3612,94,70
3611,94,15
3610,94,62
3609,94,79
3608,94,55
3607,95,62
3606,93,87
3605,93,47
3604,93,36
3603,93,57
3602,93,92
3601,94,52
3600,94,14
3599,93,98
3598,94,6
3597,94,13
3596,94,30
3595,95,21
3594,94,22
3593,94,50
3592,93,53
3591,93,63
3590,93,53
3589,94,62
3588,95,57
3587,96,12
3586,95,21
3585,93,69
3584,93,70
3583,93,34
3582,93,60
3581,93,45
3580,93,36
3579,93,67
3578,93,32
3577,94,6
3576,93,86
3575,93,59
3574,93,36
3573,93,21
3572,93,25
3571,93,37
3570,93,98
3569,94,40
3568,94,97
3567,96,17
3566,96,30
3565,95,20
3564,94,23
3563,94,26
3562,93,72
3561,93,81
3560,94,14
3559,93,82
3558,93,30
3557,93,68
3556,93,62
3555,93,22
3554,93,77
3553,94,13
3552,94,36
3551,93,77
3550,93,66
3549,93,47
3548,93,94
3547,94,12
3546,94,5
3545,94,8
3544,93,94
3543,94,10
3542,93,37
3541,93,24
3540,93,44
3539,93,53
3538,93,70
3537,93,53
3536,94,8
3535,93,49
3534,93,18
3533,93,45
3532,93,44
3531,93,57
3530,93,75
3529,93,90
3528,93,83
3527,93,98
3526,94,4
3525,93,93
3524,94,4
3523,94,38
3522,94,11
3521,93,62
3520,93,64
3519,93,65
3518,93,56
3517,93,42
3516,93,69
3515,93,43
3514,93,45
3513,93,54
3512,93,55
3511,93,75
3510,93,90
3509,93,94
3508,93,83
3507,93,38
3506,93,26
3505,93,92
3504,94,83
3503,94,26
3502,93,97
3501,93,63
3500,93,87
3499,93,39
3498,93,42
3497,93,71
3496,93,96
3495,93,77
3494,93,71
3493,93,40
3492,93,78
3491,93,45
3490,93,67
3489,93,62
3488,93,93
3487,94,8
3486,93,37
3485,93,22
3484,93,61
3483,93,73
3482,94,12
3481,93,83
3480,94,4
3479,93,42
3478,93,64
3477,93,78
3476,93,99
3475,93,61
3474,93,61
3473,93,95
3472,93,61
3471,93,59
3470,93,60
3469,93,52
3468,93,72
3467,93,85
3466,93,63
3465,93,78
3464,93,54
3463,93,74
3462,93,50
3461,93,57
3460,93,56
3459,93,87
3458,93,78
3457,93,77
3456,93,80
3455,93,79
3454,93,80
3453,93,59
3452,93,64
3451,93,86
3450,93,83
3449,93,65
3448,94,8
3447,94,47
3446,94,10
3445,93,79
3444,93,94
3443,93,74
3442,94,13
3441,93,93
3440,93,64
3439,93,59
3438,93,68
3437,93,57
3436,93,74
3435,94,9
3434,93,96
3433,94,13
3432,93,84
3431,93,56
3430,93,67
3429,93,84
3428,93,72
3427,93,92
3426,93,89
3425,93,61
3424,93,58
3423,93,72
3422,94,29
3421,93,87
3420,93,60
3419,94,34
3418,93,77
3417,93,66
3416,94,4
3415,93,88
3414,93,68
3413,93,68
3412,93,88
3411,93,72
3410,93,88
3409,93,94
3408,93,92
3407,93,97
3406,94,2
3405,94,26
3404,93,65
3403,94,17
3402,93,91
3401,93,85
3400,93,85
3399,93,89
3398,93,99
3397,94,8
3396,94,18
3395,93,98
3394,93,88
3393,94,3
3392,94,13
3391,93,91
3390,93,82
3389,94,1
3388,93,75
3387,93,89
3386,93,71
3385,93,77
3384,93,94
3383,94,2
3382,93,81
3381,94,3
3380,93,77
3379,93,61
3378,94,1
3377,94,3
3376,93,75
3375,93,84
3374,94,4
3373,94,6
3372,93,97
3371,94,9
3370,93,91
3369,94,6
3368,93,93
3367,94,0
3366,94,19
3365,94,21
3364,94,54
3363,94,16
3362,94,11
3361,93,99
3360,94,24
3359,93,92
3358,94,9
3357,94,6
3356,94,29
3355,94,33
3354,94,45
3353,94,13
3352,94,17
3351,94,0
3350,94,30
3349,93,77
3348,93,89
3347,94,15
3346,94,16
3345,93,98
3344,94,13
3343,93,96
3342,93,87
3341,94,0
3340,93,93
3339,93,97
3338,93,94
3337,94,15
3336,94,31
3335,94,14
3334,94,50
3333,93,90
3332,94,28
3331,94,19
3330,94,18
3329,94,30
3328,94,41
3327,94,34
3326,94,15
3325,94,21
3324,94,28
3323,94,14
3322,94,18
3321,93,94
3320,94,8
3319,94,26
3318,94,18
