Created as New Dataset;Sample 060 By Administrator Date donderdag, februari 26 2026,
cm-1,%T,comma
4000,92,69
3999,93,1
3998,92,69
3997,92,91
3996,93,9
3995,92,72
3994,93,38
3993,93,5
3992,92,95
3991,92,97
3990,93,0
3989,92,63
3988,92,73
3987,92,75
3986,92,74
3985,93,1
3984,92,88
3983,92,60
3982,93,2
3981,92,94
3980,92,71
3979,92,80
3978,92,87
3977,92,94
3976,93,13
3975,93,11
3974,92,92
3973,93,11
3972,93,25
3971,92,88
3970,92,91
3969,92,75
3968,92,89
3967,92,91
3966,93,37
3965,92,81
3964,93,2
3963,93,25
3962,92,76
3961,93,21
3960,92,90
3959,92,97
3958,93,14
3957,93,12
3956,93,27
3955,93,22
3954,93,5
3953,93,14
3952,93,13
3951,93,49
3950,93,40
3949,93,82
3948,93,16
3947,93,25
3946,93,12
3945,93,40
3944,93,46
3943,93,52
3942,93,91
3941,93,38
3940,93,4
3939,93,21
3938,92,97
3937,92,87
3936,93,18
3935,93,16
3934,93,50
3933,93,52
3932,93,89
3931,93,78
3930,93,85
3929,93,81
3928,93,41
3927,93,49
3926,93,73
3925,94,86
3924,94,8
3923,93,67
3922,93,43
3921,93,41
3920,94,8
3919,93,60
3918,93,55
3917,93,45
3916,93,88
3915,93,55
3914,92,94
3913,92,99
3912,93,22
3911,93,28
3910,93,15
3909,93,3
3908,93,51
3907,93,95
3906,94,52
3905,95,16
3904,95,43
3903,95,34
3902,94,70
3901,94,29
3900,94,95
3899,95,43
3898,94,47
3897,93,65
3896,93,61
3895,93,50
3894,93,62
3893,94,40
3892,95,2
3891,95,77
3890,94,51
3889,93,53
3888,93,56
3887,94,53
3886,94,42
3885,94,67
3884,94,70
3883,94,37
3882,94,59
3881,95,51
3880,94,93
3879,93,92
3878,93,52
3877,93,44
3876,94,17
3875,94,87
3874,94,49
3873,94,88
3872,94,72
3871,95,92
3870,97,45
3869,96,74
3868,94,33
3867,94,15
3866,95,21
3865,95,43
3864,95,46
3863,94,97
3862,94,44
3861,94,17
3860,93,91
3859,94,9
3858,94,63
3857,94,73
3856,95,83
3855,98,16
3854,88,16
3853,99,26
3852,99,1
3851,95,33
3850,94,59
3849,94,23
3848,93,68
3847,93,66
3846,93,71
3845,94,55
3844,94,79
3843,95,11
3842,95,17
3841,95,97
3840,96,67
3839,96,46
3838,99,73
3837,96,87
3836,95,85
3835,95,98
3834,94,48
3833,94,91
3832,95,16
3831,95,7
3830,94,37
3829,93,85
3828,94,53
3827,95,15
3826,94,80
3825,94,24
3824,94,55
3823,95,64
3822,98,7
3821,96,59
3820,96,93
3819,95,53
3818,95,25
3817,96,5
3816,97,58
3815,95,27
3814,94,30
3813,93,68
3812,93,90
3811,93,64
3810,93,47
3809,94,5
3808,95,62
3807,95,61
3806,95,29
3805,94,59
3804,94,57
3803,96,13
3802,98,90
3801,98,34
3800,95,46
3799,94,90
3798,94,92
3797,95,92
3796,95,15
3795,94,1
3794,93,90
3793,93,74
3792,93,62
3791,93,56
3790,93,80
3789,93,69
3788,93,80
3787,93,73
3786,94,6
3785,94,43
3784,94,38
3783,93,93
3782,94,8
3781,94,20
3780,95,2
3779,95,59
3778,94,57
3777,93,72
3776,93,66
3775,93,65
3774,94,3
3773,93,67
3772,94,1
3771,94,99
3770,95,0
3769,94,85
3768,94,1
3767,94,68
3766,95,21
3765,94,92
3764,94,18
3763,94,10
3762,94,10
3761,94,84
3760,95,79
3759,95,78
3758,95,10
3757,95,49
3756,95,36
3755,94,99
3754,95,40
3753,97,58
3752,98,21
3751,98,34
3750,98,51
3749,98,45
3748,96,38
3747,95,71
3746,96,87
3745,100,12
3744,96,81
3743,95,44
3742,95,2
3741,95,73
3740,95,52
3739,95,39
3738,95,96
3737,97,21
3736,97,59
3735,94,52
3734,97,65
3733,96,94
3732,96,29
3731,95,25
3730,94,58
3729,94,31
3728,94,55
3727,94,41
3726,95,43
3725,95,48
3724,94,98
3723,95,86
3722,95,85
3721,94,60
3720,94,81
3719,94,76
3718,94,25
3717,93,88
3716,94,8
3715,94,6
3714,94,96
3713,95,80
3712,97,44
3711,96,60
3710,96,42
3709,95,71
3708,95,2
3707,94,34
3706,94,31
3705,94,4
3704,94,9
3703,94,49
3702,95,81
3701,95,1
3700,93,89
3699,94,36
3698,94,6
3697,94,29
3696,93,90
3695,94,27
3694,94,28
3693,94,82
3692,95,40
3691,96,70
3690,97,28
3689,98,57
3688,98,34
3687,95,44
3686,94,64
3685,94,41
3684,94,45
3683,93,98
3682,93,85
3681,94,19
3680,95,26
3679,96,18
3678,95,65
3677,97,12
3676,101,71
3675,97,26
3674,96,79
3673,95,53
3672,95,65
3671,98,91
3670,97,83
3669,96,48
3668,95,30
3667,94,40
3666,94,1
3665,94,22
3664,93,90
3663,94,11
3662,93,87
3661,94,3
3660,94,12
3659,94,39
3658,94,55
3657,95,19
3656,96,44
3655,94,95
3654,94,47
3653,94,83
3652,96,18
3651,99,0
3650,98,99
3649,99,47
3648,99,30
3647,97,84
3646,96,20
3645,94,87
3644,94,13
3643,94,38
3642,94,77
3641,94,27
3640,94,24
3639,94,33
3638,95,0
3637,94,27
3636,94,50
3635,94,72
3634,95,29
3633,95,12
3632,94,72
3631,95,86
3630,97,36
3629,98,37
3628,97,47
3627,95,56
3626,95,3
3625,94,73
3624,94,38
3623,94,72
3622,94,63
3621,95,85
3620,96,57
3619,96,89
3618,95,78
3617,95,44
3616,95,38
3615,95,87
3614,96,41
3613,95,76
3612,95,64
3611,95,29
3610,95,42
3609,95,60
3608,95,62
3607,96,14
3606,94,85
3605,94,45
3604,94,6
3603,94,66
3602,94,80
3601,95,27
3600,95,26
3599,94,97
3598,94,91
3597,94,95
3596,95,22
3595,96,5
3594,94,95
3593,95,51
3592,94,66
3591,94,66
3590,94,93
3589,95,78
3588,96,3
3587,95,93
3586,96,0
3585,94,70
3584,94,92
3583,94,49
3582,94,69
3581,94,54
3580,94,72
3579,94,63
3578,94,57
3577,94,67
3576,94,69
3575,94,73
3574,94,53
3573,94,8
3572,94,39
3571,94,55
3570,94,68
3569,95,38
3568,97,22
3567,97,49
3566,97,19
3565,96,25
3564,95,15
3563,95,18
3562,94,85
3561,94,82
3560,94,89
3559,94,50
3558,94,59
3557,94,51
3556,94,74
3555,94,47
3554,94,76
3553,95,36
3552,95,36
3551,94,61
3550,94,59
3549,94,44
3548,94,92
3547,95,35
3546,95,5
3545,95,3
3544,94,85
3543,94,88
3542,94,23
3541,94,48
3540,94,48
3539,94,43
3538,94,49
3537,94,34
3536,95,12
3535,94,30
3534,94,47
3533,94,46
3532,94,49
3531,94,66
3530,94,67
3529,94,95
3528,95,17
3527,95,22
3526,95,17
3525,94,85
3524,94,91
3523,95,42
3522,95,29
3521,94,83
3520,94,76
3519,94,69
3518,94,48
3517,94,39
3516,94,53
3515,94,54
3514,94,63
3513,94,92
3512,94,42
3511,94,68
3510,94,83
3509,94,81
3508,95,15
3507,94,70
3506,94,45
3505,95,5
3504,95,7
3503,94,96
3502,95,10
3501,94,81
3500,94,76
3499,94,70
3498,94,66
3497,94,99
3496,95,3
3495,94,70
3494,94,70
3493,94,61
3492,94,77
3491,94,54
3490,94,69
3489,94,99
3488,94,87
3487,95,19
3486,94,48
3485,94,48
3484,94,75
3483,94,99
3482,95,26
3481,94,80
3480,94,82
3479,94,59
3478,94,53
3477,94,67
3476,94,81
3475,94,86
3474,94,72
3473,94,79
3472,94,73
3471,94,78
3470,94,69
3469,94,48
3468,94,70
3467,95,28
3466,94,76
3465,94,75
3464,94,93
3463,94,66
3462,94,81
3461,94,88
3460,94,83
3459,94,74
3458,94,47
3457,94,93
3456,94,93
3455,94,87
3454,94,97
3453,94,85
3452,94,71
3451,94,79
3450,94,80
3449,94,66
3448,95,9
3447,95,57
3446,95,17
3445,94,96
3444,94,87
3443,95,1
3442,95,11
3441,94,89
3440,94,97
3439,94,56
3438,95,4
3437,94,86
3436,94,83
3435,95,19
3434,95,5
3433,95,10
3432,94,78
3431,94,64
3430,94,78
3429,95,17
3428,94,49
3427,95,21
3426,94,95
3425,94,79
3424,94,60
3423,94,83
3422,95,51
3421,95,21
3420,94,90
3419,95,24
3418,94,73
3417,94,80
3416,95,10
3415,94,84
3414,95,12
3413,94,97
3412,94,70
3411,95,8
3410,94,92
3409,95,17
3408,94,93
3407,94,98
3406,95,10
3405,95,15
3404,94,85
3403,94,74
3402,95,2
3401,94,95
3400,95,4
3399,95,1
3398,95,7
3397,95,27
3396,95,42
3395,94,86
3394,95,0
3393,94,96
3392,95,24
3391,95,2
3390,95,3
3389,95,8
3388,95,6
3387,95,8
3386,94,85
3385,95,12
3384,95,2
3383,95,5
3382,95,17
3381,94,81
3380,94,83
3379,94,76
3378,95,10
3377,94,87
3376,94,83
3375,95,16
3374,95,21
3373,95,42
3372,95,10
3371,95,12
3370,94,84
3369,95,24
3368,95,28
3367,94,92
3366,95,28
3365,95,24
3364,95,51
3363,95,21
3362,95,9
3361,95,15
3360,95,33
3359,94,98
3358,95,37
3357,95,0
3356,95,26
3355,95,28
3354,95,66
3353,95,15
3352,95,35
3351,95,6
3350,95,0
3349,95,5
3348,95,3
3347,95,5
3346,95,16
3345,95,17
3344,95,6
3343,95,34
3342,94,96
3341,95,10
3340,95,14
3339,95,30
3338,95,12
3337,95,18
3336,95,46
3335,95,20
3334,95,27
3333,95,18
3332,95,33
3331,95,19
3330,95,22
3329,95,35
3328,95,46
3327,95,65
3326,95,39
3325,95,31
3324,95,39
3323,95,22
3322,95,16
3321,95,2
3320,95,12
3319,95,34
3318,95,41
3317,95,41
3316,95,73
3315,95,2
3314,95,11
3313,95,40
3312,95,38
3311,95,65
3310,95,61
3309,95,83
3308,95,18
3307,95,42
3306,95,55
3305,95,39
3304,95,25
3303,95,34
3302,95,76
3301,95,38
3300,95,35
3299,95,46
3298,95,37
3297,95,35
3296,95,43
3295,95,43
3294,95,83
3293,95,37
3292,95,38
3291,95,43
3290,95,53
3289,95,69
3288,95,63
3287,95,18
3286,95,71
3285,95,48
3284,95,68
3283,95,54
3282,95,49
3281,95,71
3280,95,78
3279,95,72
3278,95,50
3277,95,44
3276,95,72
3275,95,39
3274,95,89
3273,95,81
3272,95,42
3271,95,45
3270,95,16
3269,95,54
3268,95,60
3267,95,82
3266,95,60
3265,95,62
3264,95,37
3263,95,67
3262,95,83
3261,95,49
3260,95,67
3259,95,73
3258,95,85
3257,95,81
3256,95,56
3255,96,11
3254,95,67
3253,95,54
3252,95,88
3251,95,67
3250,95,48
3249,95,75
3248,95,81
3247,95,74
3246,95,82
3245,95,89
3244,95,84
3243,95,84
3242,95,58
3241,95,54
3240,95,62
3239,95,89
3238,95,55
3237,95,85
3236,95,48
3235,95,96
3234,95,77
3233,95,89
